t,x
0,1.0487797010199826
1,1.0581307484086282
2,1.0297950456209108
3,1.0219567776728358
4,1.0128550506090483
5,1.0040916058972527
6,1.030766016108959
7,1.0083801923005795
8,1.018984657759096
9,1.0187929996139162
10,1.0634760379417727
11,1.0601692771247215
12,1.0194125721790486
13,1.0477838842520322
14,1.039822527271891
15,1.018147217629851
16,1.0347203300134986
17,0.9884812407181406
18,0.988346264204337
19,1.0009454877793567
20,0.9871967212052827
21,0.9755858937897733
22,0.9893209553606906
23,0.9596722971870052
24,0.963954834321083
25,0.9687156381715052
26,0.9548208563829609
27,0.9512168555010205
28,0.9302326251156172
29,0.917681449703223
30,0.9052536258439451
31,0.9283352120896465
32,0.9233911197093102
33,0.906625346796311
34,0.9142191649665287
35,0.8796425681063752
36,0.8939881092651499
37,0.8723694718935282
38,0.8543533129715082
39,0.8334112375122681
40,0.8530961684211885
41,0.8247230579913667
42,0.8050476427674547
43,0.7772207864907695
44,0.800069831424991
45,0.7958166968518734
46,0.7552834146974756
47,0.7599974094155733
48,0.7348701041134823
49,0.7739194197293484
50,0.7772531918390561
51,0.7764254682068337
52,0.795569157849819
53,0.793769391036991
54,0.7693977760892549
55,0.7634593888823863
56,0.7579031901118639
57,0.7566520937416251
58,0.781201122516653
59,0.7753771776798193
60,0.7737022034704469
61,0.768945877865299
62,0.7491393676563451
63,0.7506072279451041
64,0.7427722568491191
65,0.7099102811325773
66,0.741248952227739
67,0.7380027204187792
68,0.6979139813698885
69,0.6473994102618781
70,0.658983339191643
71,0.6359838284790076
72,0.6469518153585232
73,0.6655054525426664
74,0.6953398102699552
75,0.6329203512421689
76,0.5989215037708022
77,0.6077588592180685
78,0.59186007691858
79,0.5948470640367943
80,0.6401010218059846
81,0.648536647646567
82,0.65911038900516
83,0.6681133361943139
84,0.68125031749968
85,0.6837872822404245
86,0.6707387776955387
87,0.6778203259860838
88,0.6736034913065092
89,0.6611957494758932
90,0.6589921827701893
91,0.6491937048504055
92,0.6517122035959163
93,0.6337135062200071
94,0.634078857997553
95,0.6572195842197038
96,0.6662969105560799
97,0.6641595307783847
98,0.6473057116363871
99,0.6639603473565555
100,0.6759568353349281
101,0.6600350396088894
102,0.6294603372880446
103,0.6301723803275259
104,0.6496659078189747
105,0.6410029297697302
106,0.614819216558455
107,0.6242132696209061
108,0.668808887905924
109,0.6371118300158299
110,0.668892119339584
111,0.6606950180021294
112,0.676301247051168
113,0.7050279337857589
114,0.7037745240780516
115,0.6985199579409563
116,0.7014051208327436
117,0.7107514273849016
118,0.7289682079630372
119,0.7451218855187034
120,0.7146603717917046
121,0.6820167745054228
122,0.7075931765549558
123,0.6884010724170504
124,0.6560874958603811
125,0.6373489659784113
126,0.6282657210089976
127,0.6204085184304262
128,0.6009280342709001
129,0.5876360720757172
130,0.6143205409989225
131,0.6057598907593648
132,0.6181714943647112
133,0.608699350739682
134,0.5764832982420035
135,0.6073321204563649
136,0.6122908739629053
137,0.6060924034041678
138,0.616905361759466
139,0.6012145790650298
140,0.6069981586066469
141,0.6197738297418329
142,0.6386396170629495
143,0.6285767020150813
144,0.6424651283958214
145,0.635945077039299
146,0.6254495116607194
147,0.6184054054719348
148,0.639906446834143
149,0.6470882509412735
150,0.5916761472682303
151,0.5636449376818548
152,0.5874363610328228
153,0.5588264730878534
154,0.6009331318556494
155,0.5675332549816902
156,0.5466865580059592
157,0.5383215117927496
158,0.6106155354164126
159,0.5923377819897933
160,0.5819660096001492
161,0.5893770261912189
162,0.5875065245594898
163,0.5772173691480297
164,0.5805773359880313
165,0.6111864995194576
166,0.6449405919671853
167,0.6339118893138229
168,0.6232545932475974
169,0.5974274222936898
170,0.6167187078680858
171,0.6242437326450841
172,0.6014667738424762
173,0.601533552136441
174,0.5843264355481295
175,0.5802480322235455
176,0.5620433579435253
177,0.5529724269102015
178,0.5292101130361959
179,0.5162470583927744
180,0.5120649837707599
181,0.5141610908323082
182,0.5280303480018754
183,0.5335009351598359
184,0.5295036740902013
185,0.5702194141085177
186,0.5577936554105667
187,0.5772881829614974
188,0.5640647005170472
189,0.5632406955926003
190,0.5584728478906041
191,0.5776321945022684
192,0.5577633094368672
193,0.5725097367200822
194,0.5664623818322684
195,0.5278816687261342
196,0.5327233227595116
197,0.5417398505918777
198,0.5551655632760557
199,0.5466367704031015
200,0.5401764508461131
201,0.5272372008061567
202,0.4948954001118785
203,0.5018045678362962
204,0.5011458321162371
205,0.5589045423123795
206,0.5248484236163764
207,0.4941195002050225
208,0.5049876207181779
209,0.4877443600538515
210,0.4823647344623336
211,0.509671211541899
212,0.4834675328876093
213,0.4811492575157921
214,0.46908052534199135
215,0.4689777493749339
216,0.4581941404539978
217,0.4638477360289454
218,0.46542275312109155
219,0.46263597102618653
220,0.4626289109937103
221,0.43760489120035334
222,0.45300520921946447
223,0.459979069225308
224,0.4657291758877608
225,0.4432023568766788
226,0.4191677660365163
227,0.4305084907656279
228,0.41190422438522495
229,0.40823120374043753
230,0.4105293954719328
231,0.39672831031154493
232,0.43602907788033235
233,0.43459976943093737
234,0.3876705971080254
235,0.3722156319591673
236,0.36990379074821433
237,0.40240501341889373
238,0.3689022474976005
239,0.35069441119489875
240,0.3663897496169818
241,0.35225932561898127
242,0.3136981605308627
243,0.3041812406849272
244,0.2970401397463015
245,0.3043086356698394
246,0.2966408386993298
247,0.26084016504602503
248,0.2391163373866582
249,0.23583147159117437
250,0.2324616932260971
251,0.22470301518549785
252,0.23869223787421553
253,0.25894159662421246
254,0.2714871701647158
